seed,split_mode,method,mean_se,mean_gap_to_rzf,mean_gap_to_best_baseline,mean_gap_to_strongest_reference,gap_10db,gap_15db,gap_20db,high_snr_mean_gap,inference_latency_ms
1,contiguous,cnn,0.6808622374211638,-0.04808398400941235,-0.2692878578549659,-0.2692878578549659,-0.040123530936503074,-0.08641759954697281,-0.1894854361713532,-0.10534218888494302,0.5831274899537675
2,contiguous,cnn,0.6647508677865125,-0.06164642611940052,-0.2792855358852238,-0.2792855358852238,-0.0571274751197867,-0.10605822976173959,-0.2171864770209286,-0.1267907273008183,0.6524519575759768
3,contiguous,cnn,0.6270093675248295,-0.08591516256735031,-0.29649266810542774,-0.29649266810542774,-0.09103140959174424,-0.17391149395648123,-0.2763195287349349,-0.18042081076105346,0.6606849105446599
1,contiguous,residual_rzf,0.7638058027597713,-0.00017483724815443508,-0.23536717164352064,-0.23536717164352064,7.094717093242109e-05,-0.00026487883123470354,-0.001093491519762877,-0.00042914106002171987,0.9296640998218209
2,contiguous,residual_rzf,0.7639623111729733,-0.00010675464278298201,-0.23532002593704696,-0.23532002593704696,4.999477496042728e-05,-0.0002584720760682393,-0.0005872497615163416,-0.00026524235420805124,0.9393964897026308
3,contiguous,residual_rzf,0.7639144865509445,-0.00012266428256798578,-0.23533031992732148,-0.23533031992732148,9.680157264445576e-05,-0.0003181240450113395,-0.000730357440260359,-0.0003172266375424143,0.9303012816235424
1,contiguous,rzf,0.7641905884125403,0.0,-0.23524655456351476,-0.23524655456351476,0.0,0.0,0.0,0.0,0.5042755996691994
2,contiguous,rzf,0.7641905884125403,0.0,-0.23524655456351476,-0.23524655456351476,0.0,0.0,0.0,0.0,0.5413745818077587
3,contiguous,rzf,0.7641905884125403,0.0,-0.23524655456351476,-0.23524655456351476,0.0,0.0,0.0,0.0,0.5774373194435611
1,contiguous,unfolded_wmmse_lite,0.8719175615713203,0.16335308250817707,-0.10941591653806881,-0.10941591653806881,0.1726343655495443,0.1591633438564266,0.10331321217975299,0.14503697386190798,23.65546372020617
2,contiguous,unfolded_wmmse_lite,0.8719175615713203,0.16335308250817707,-0.10941591653806881,-0.10941591653806881,0.1726343655495443,0.1591633438564266,0.10331321217975299,0.14503697386190798,24.259195551858284
3,contiguous,unfolded_wmmse_lite,0.8719175615713203,0.16335308250817707,-0.10941591653806881,-0.10941591653806881,0.1726343655495443,0.1591633438564266,0.10331321217975299,0.14503697386190798,23.929404460650403
1,contiguous,wmmse_iter_5,1.0663602610251732,0.31335301197932747,0.0,0.0,0.3558041017454102,0.4373944391317328,0.4329394797104873,0.40871267352921015,45.52394362981431
2,contiguous,wmmse_iter_5,1.0663602610251732,0.31335301197932747,0.0,0.0,0.3558041017454102,0.4373944391317328,0.4329394797104873,0.40871267352921015,45.94416685809847
3,contiguous,wmmse_iter_5,1.0663602610251732,0.31335301197932747,0.0,0.0,0.3558041017454102,0.4373944391317328,0.4329394797104873,0.40871267352921015,45.82561926043127
