method,batch_size,warmup_runs,timed_runs,include_data_transfer,device,inference_latency_ms,latency_std_ms
mrt,512,20,100,False,cuda,0.23708501947112381,0.06147454358472414
rzf,512,20,100,False,cuda,0.5277231996296905,0.0996940597024791
residual_rzf,512,20,100,False,cuda,1.602837020473089,0.14132544360375993
cnn,512,20,100,False,cuda,1.8036080620368011,0.1678357414939593
unfolded_rzf,512,20,100,False,cuda,3.5617221498978324,0.4753553689468932
wmmse_iter_1,512,20,100,False,cuda,37.37573914928362,2.7283353860238724
wmmse_iter_2,512,20,100,False,cuda,74.77179157140199,3.689913999539781
unfolded_wmmse_lite,512,20,100,False,cuda,80.74030180112459,3.5874578413115374
wmmse_iter_5,512,20,100,False,cuda,182.19236940873088,5.279357517560464
wmmse,512,20,100,False,cuda,1118.4488259800128,15.619815995452848
